"","location","cnt","lat","long","lat_min","lat_max","lon_min","lon_max"
"1","Abbeville, SC",2,34.2264946,-82.4364036,34.013796,34.4840594,-82.7408855,-82.23999
"2","Aberdeen Proving Ground, MD",1,39.4698142,-76.1273306,39.4346549,39.5045717,-76.1749346,-76.094399
"3","Aberdeen, MD",1,39.5120347,-76.1643289,39.4832371,39.5448663,-76.2038712,-76.1273478
"4","Abilene, TX",4,32.44645,-99.7475905,32.3431879,32.624481,-99.8675851,-99.623084
"5","Acton, MA",4,42.4850931,-71.43284,42.4369393,42.5340164,-71.4985504,-71.3849469
"6","Addison, IL",8,41.931696,-87.9889556,41.9051192,41.958603,-88.05225,-87.959968
"7","Addison, TX",15,32.9604779,-96.8300673,32.933154,32.9872107,-96.855951,-96.807772
"8","Agoura Hills, CA",2,34.14791,-118.7657042,34.125332,34.1682226,-118.800352,-118.7197537
"9","Ahwatukee, AZ",4,33.3194186,-112.0312962,33.2994186,33.3394186,-112.0512962,-112.0112962
"10","Aiken, SC",8,33.5723191,-81.6182086,33.1979635,33.875076,-82.012527,-81.1873014
"11","Akron, OH",6,41.083064,-81.518485,40.9976575,41.171061,-81.621014,-81.404942
"12","Alabama, United States",22,33.2588817,-86.8295337,30.143376,35.0081121,-88.4731014,-84.8882885
"13","Alameda, CA",4,37.6090291,-121.899142,37.4542627,37.9066896,-122.373843,-121.4690903
"14","Albany, NY",30,42.6511674,-73.754968,42.613528,42.7221258,-73.897457,-73.723229
"15","Albuquerque, NM",22,35.0841034,-106.650985,34.9470871,35.218203,-106.8821501,-106.4706258
"16","Aledo, TX",4,32.6990091,-97.6039663,32.6767784,32.7189975,-97.6264188,-97.5897517
"17","Alexandria, LA",12,31.2909782,-92.4616292,31.2315461,31.3596291,-92.5657965,-92.3983025
"18","Alexandria, VA",69,38.8051095,-77.0470229,38.7851837,38.8449229,-77.1443577,-77.0370392
"19","Alfred, NY",3,42.2542334,-77.7906062,42.242292,42.265755,-77.803224,-77.778022
"20","Algonquin, IL",2,42.1655801,-88.2942493,42.132424,42.197458,-88.383726,-88.257597
"21","Alhambra, CA",6,34.093042,-118.12706,34.0599364,34.1111486,-118.164835,-118.1077791
"22","Allen, TX",16,33.1031744,-96.6705503,33.0707933,33.1580078,-96.7366668,-96.6089949
"23","Allentown, PA",1,40.6022059,-75.4712794,40.5499752,40.6360106,-75.5480045,-75.4192495
"24","Alpharetta, GA",24,34.0709576,-84.2747329,34.0281476,34.1173451,-84.359435,-84.201218
"25","Alsip, IL",4,41.6689223,-87.7386619,41.651233,41.6908949,-87.778572,-87.694909
"26","Altamonte Springs, FL",8,28.6619154,-81.3885899,28.6400878,28.689576,-81.443401,-81.34405
"27","Altoona, PA",4,40.518681,-78.394736,40.466153,40.554785,-78.432978,-78.364695
"28","Amarillo, TX",9,35.2072185,-101.833824,35.1020007,35.2944807,-101.956244,-101.653777
"29","Ames, IA",9,42.0267567,-93.6170448,41.9749305,42.0779466,-93.6987324,-93.5214332
"30","Amherst, NY",2,42.9783924,-78.7997616,42.945844,43.087077,-78.832498,-78.696839
"31","Ammon, ID",1,43.4772087,-111.969726,43.438823,43.511356,-111.984521,-111.897772
"32","Anaheim, CA",8,33.8347516,-117.911732,33.7889241,33.8790572,-118.0173585,-117.6738308
"33","Anderson, IN",2,40.1053196,-85.6802541,40.0194345,40.159155,-85.7631444,-85.6009898
"34","Anderson, SC",4,34.5258335,-82.652962,34.2087505,34.8195278,-82.9920694,-82.3138692
"35","Andover, MA",3,42.65717,-71.1408776,42.5980212,42.7012671,-71.2561879,-71.0761664
"36","Ankeny, IA",1,41.7320796,-93.605092,41.6521318,41.7987146,-93.6727663,-93.5414352
"37","Ann Arbor, MI",1,42.2681569,-83.7312291,42.222668,42.3238941,-83.799572,-83.675807
"38","Annandale, VA",4,38.838491,-77.2085238,38.811,38.865979,-77.262116,-77.1576787
"39","Annapolis Junction, MD",8,39.1189964,-76.7963417,39.1165753,39.1212783,-76.8006968,-76.7914047
"40","Annapolis, MD",11,38.9786401,-76.492786,38.9424993,39.0025548,-76.5395832,-76.4686762
"41","Anoka, MN",1,45.2710195,-93.2827625,45.035487,45.4145196,-93.5124158,-93.018747
"42","Antigo, WI",2,45.140245,-89.152335,45.0906351,45.185216,-89.186191,-89.131094
"43","Antioch, CA",1,38.0049214,-121.805789,37.9208342,38.0300593,-121.8605884,-121.7323883
"44","Antioch, IL",6,42.4767131,-88.0950691,42.446403,42.495627,-88.128356,-87.99737
"45","Apache Junction, AZ",2,33.4150485,-111.549577,33.3000674,33.4513813,-111.5848519,-111.4767939
"46","Apple Valley, MN",4,44.7319094,-93.21772,44.7173359,44.7758872,-93.2483505,-93.151344
"47","Appleton, WI",3,44.2613967,-88.4069744,44.2086575,44.3539177,-88.4515792,-88.342596
"48","Appomattox, VA",1,37.3586336,-78.8265053,37.342107,37.3745228,-78.85072,-78.809083
"49","Arden, NC",24,35.4661821,-82.5164242,35.4461821,35.4861821,-82.5364242,-82.4964242
"50","Arizona, United States",28,34.395342,-111.763275,31.3322135,37.0038722,-114.8183584,-109.045131
"51","Arkadelphia, AR",1,34.1209292,-93.053784,34.0919468,34.1766648,-93.1112459,-93.0414386
"52","Arkansas, United States",10,35.2048883,-92.4479108,33.0042455,36.4996,-94.6178753,-89.644395
"53","Arlington, TX",3,32.7355816,-97.1071186,32.586565,32.817121,-97.233818,-97.037008
"54","Arlington, VA",219,38.8769326,-77.0893094,38.8274696,38.9343511,-77.1722757,-77.0309984
"55","Arlington, WA",4,48.1810957,-122.1389548,48.1447897,48.203799,-122.204007,-122.107502
"56","Armonk, NY",1,41.1264847,-73.7139777,41.100335,41.1651903,-73.733743,-73.694626
"57","Arvada, CO",4,39.8005505,-105.0811573,39.7843843,39.8930153,-105.3019196,-105.042313
"58","Asheville, NC",22,35.595363,-82.5508407,35.4164642,35.6560763,-82.6703643,-82.4604691
"59","Athens, OH",6,39.355589,-82.0610404,39.1803141,39.5564844,-82.298347,-81.721717
"60","Atlanta, GA",188,33.7489924,-84.3902644,33.647808,33.886823,-84.551068,-84.28956
"61","Atlantis, FL",2,26.5909025,-80.1008762,26.5879564,26.6036218,-80.1147842,-80.0897101
"62","Attleboro, MA",18,41.9438129,-71.2806515,41.8935458,41.9873058,-71.381463,-71.2081624
"63","Auburn Hills, MI",11,42.6875323,-83.2341028,42.619938,42.709529,-83.32895,-83.209216
"64","Auburn, WA",12,47.3075369,-122.2301808,47.237142,47.353874,-122.2807014,-122.143636
"65","Augusta, GA",20,33.4709714,-81.9748429,33.227165,33.5450221,-82.3538702,-81.8281227
